gene,A1,A2,A3,A4,I1,I2,I3,I4,L1,L2,L3,L4,S1,S2,S3,S4
Gene2885,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0
Gene2886,9,6,1,1,2,3,1,5,3,5,1,0,2,1,2,4
Gene2887,86,90,82,77,73,73,60,57,38,94,27,49,55,53,50,52
Gene2888,22,24,25,20,21,26,33,33,21,9,33,13,36,35,35,45
Gene2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2890,9,16,12,13,19,17,18,16,78,32,75,3,10,20,21,15
Gene2891,0,0,0,0,0,0,0,0,2,1,6,2,0,0,0,0
Gene2892,1,0,2,2,0,2,4,2,2,1,1,0,1,2,2,2
Gene2893,21,24,25,27,34,26,26,25,17,22,15,10,25,26,25,25
Gene2894,0,1,0,2,2,1,2,2,0,0,0,0,1,1,1,3
Gene2895,4,2,1,3,5,4,2,7,0,0,0,0,5,9,14,8
Gene2896,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
Gene2897,3,3,3,4,4,5,10,10,0,1,2,0,7,8,6,8
Gene2898,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gene2899,2646,2619,2555,2854,2246,2060,1481,1352,2215,509,1513,2931,1258,1183,1047,1221
Gene2900,11,11,14,11,17,18,16,18,11,5,13,2,16,14,13,15
Gene2901,273,201,235,252,587,400,257,237,68,115,76,111,312,279,463,642
Gene2902,10,11,11,13,11,7,6,7,22,4,15,2,7,6,6,5
Gene2903,21,22,22,24,13,21,35,34,18,4,30,4,42,41,41,38
Gene2904,475,428,557,629,225,167,246,188,0,0,0,0,97,120,114,88
Gene2905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gene2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2907,0,1,1,1,3,1,0,0,0,0,0,0,1,1,3,2
Gene2908,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Gene2909,0,0,0,0,0,0,0,0,0,28,0,16,0,0,0,0
Gene2910,3,2,5,2,8,3,4,2,0,1,2,0,4,5,3,2
Gene2911,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0
Gene2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2913,0,0,0,0,1,1,2,2,0,0,1,0,3,4,7,6
Gene2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2915,6,4,6,4,8,8,12,13,8,2,11,1,19,18,18,15
Gene2916,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1
Gene2917,1,1,1,0,0,0,2,2,0,0,0,0,2,1,4,2
Gene2918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2919,7,8,9,8,10,9,13,14,4,1,6,1,18,18,17,16
Gene2920,7,8,9,8,10,9,13,14,4,1,6,1,18,18,17,16
Gene2921,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0
Gene2922,5,4,5,4,4,8,10,12,7,1,6,1,13,13,13,13
Gene2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2924,0,1,0,0,0,1,1,3,0,0,0,0,2,2,0,0
Gene2925,110,94,105,95,72,104,96,89,0,0,0,0,74,60,95,88
Gene2926,7,6,9,5,7,10,9,11,40,13,47,23,13,12,9,11
Gene2927,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gene2928,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gene2929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2930,1,2,1,2,2,2,3,4,1,1,1,0,4,4,5,3
Gene2931,1,1,1,0,0,3,5,6,0,0,2,0,8,4,4,6
Gene2932,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,1
Gene2933,1,0,0,0,0,0,0,1,1,0,0,0,1,4,2,1
Gene2934,1,1,1,0,0,4,7,5,1,0,3,0,6,5,5,6
Gene2935,0,0,0,1,2,3,3,5,9,0,14,0,6,6,4,3
Gene2936,16,13,16,18,15,17,23,26,8,3,16,2,19,19,20,19
Gene2937,0,0,1,0,2,0,0,0,5,18,3,0,0,0,0,0
Gene2938,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gene2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2940,62,68,69,51,86,87,50,39,3,2,0,0,40,39,56,57
Gene2941,1115,1458,1127,1012,801,850,716,668,382,876,256,460,529,503,483,565
Gene2942,27,31,26,30,30,41,41,42,53,26,48,24,38,40,45,38
Gene2943,151,186,157,136,168,115,100,76,119,277,58,67,66,68,70,70
Gene2944,20,29,34,20,48,38,31,31,13,19,4,1,34,24,20,23
Gene2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2946,4,4,4,5,5,6,11,9,3,1,6,1,9,9,9,8
Gene2947,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Gene2948,3,5,3,4,4,2,4,6,13,1,12,3,7,3,6,7
Gene2949,4,6,6,7,10,8,14,15,11,3,6,3,13,13,11,12
Gene2950,30,20,20,25,61,54,65,62,2,0,6,0,107,99,95,132
Gene2951,24,29,30,33,55,50,55,52,75,37,65,20,50,53,47,37
Gene2952,8,8,10,9,15,14,19,18,25,9,27,3,21,23,21,20
Gene2953,71,56,56,54,44,67,58,64,43,18,51,50,61,64,63,69
Gene2954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2955,58,59,48,59,66,62,55,63,23,15,15,1,67,59,65,69
Gene2956,2,1,2,2,2,1,4,3,46,33,52,32,4,5,5,4
Gene2957,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,1
Gene2958,1,1,2,1,1,2,2,3,53,22,116,19,1,1,3,1
Gene2959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2960,286,274,471,467,838,453,268,187,0,0,1,0,267,247,235,263
Gene2961,1,2,3,2,3,3,9,9,1,0,4,1,6,8,7,7
Gene2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2963,3,3,3,3,4,5,8,8,3,1,3,1,9,10,13,11
Gene2964,0,0,0,0,0,0,0,1,10,0,12,0,1,0,0,0
Gene2965,0,0,0,0,0,0,1,1,8,2,7,3,0,1,0,1
Gene2966,22,32,28,30,46,32,35,32,8,10,8,4,34,29,30,25
Gene2967,3,4,5,3,2,4,3,2,0,0,0,1,3,7,4,2
Gene2968,2,3,2,2,2,6,6,7,1,1,3,0,6,3,6,8
Gene2969,0,0,1,1,1,2,2,4,2,0,1,0,4,4,4,2
Gene2970,7,5,4,6,19,14,19,22,68,49,75,16,24,24,29,22
Gene2971,0,4,3,4,9,3,5,1,10,9,5,4,3,5,2,2
Gene2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2973,0,0,0,0,0,0,0,0,229,119,280,114,0,0,0,0
Gene2974,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Gene2975,5,4,4,5,7,5,4,8,153,122,134,99,4,4,3,5
Gene2976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gene2977,0,0,1,0,0,1,2,3,2,0,6,0,2,2,3,3
Gene2978,1,6,0,0,8,3,6,16,1,0,0,0,11,5,0,6
Gene2979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2981,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Gene2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2984,0,0,0,0,0,0,1,2,0,0,1,0,5,3,3,5
Gene2985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2987,17,6,20,15,12,17,39,60,0,0,5,0,40,48,59,49
Gene2988,4,4,4,2,0,0,3,0,0,0,0,0,0,2,0,1
Gene2989,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gene2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2991,0,0,0,0,1,1,4,4,0,0,0,0,5,4,4,4
Gene2992,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
Gene2993,1,0,1,1,0,1,2,2,0,0,0,0,3,2,2,2
Gene2994,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
Gene2995,3,4,3,4,1,2,8,9,0,0,0,0,6,8,11,11
Gene2996,0,0,1,0,1,2,2,3,0,0,0,0,2,2,1,2
Gene2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2998,5,3,3,4,2,6,9,11,16,2,25,3,12,15,15,16
Gene2999,1,0,0,1,0,1,1,2,0,0,0,0,2,1,1,3
Gene3000,3,1,1,2,2,4,4,4,119,86,119,102,3,3,2,3
Gene3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3002,1,1,1,1,2,2,1,2,0,0,0,0,0,1,0,1
Gene3003,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Gene3004,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,2
Gene3005,1,1,1,2,1,2,4,5,1,0,4,0,4,4,4,4
Gene3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3007,1,2,2,1,0,3,3,2,4,0,6,2,3,1,3,3
Gene3008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gene3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3010,2,1,1,3,3,0,1,1,2,2,0,0,1,0,1,3
Gene3011,0,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0
Gene3012,1,1,0,2,2,0,1,0,0,0,0,0,1,1,0,1
Gene3013,0,0,0,0,2,1,2,3,2,1,3,0,3,3,1,1
Gene3014,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Gene3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3016,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
Gene3017,2,1,1,1,0,3,7,7,0,0,3,0,9,8,8,8
Gene3018,54,42,51,50,44,54,45,44,5,3,6,10,45,46,37,33
Gene3019,0,0,1,0,1,0,1,1,31,19,34,26,1,1,1,1
Gene3020,37,46,43,43,43,37,40,34,15,9,13,14,31,28,28,29
Gene3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3022,10,12,11,10,10,14,22,23,10,6,16,6,29,27,25,31
Gene3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3024,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,3
Gene3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gene3026,13,15,18,19,26,19,16,16,10,8,8,3,13,13,11,11
Gene3027,2,1,1,2,2,3,2,0,1,0,0,1,0,1,0,2
Gene3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3029,3,6,6,5,13,5,11,13,7,1,21,2,14,13,7,18
Gene3030,3,0,0,0,1,5,6,2,0,1,7,2,0,3,8,1
Gene3031,0,0,0,0,3,3,0,0,0,0,0,0,2,1,1,0
Gene3032,110,103,98,64,103,96,106,67,0,0,0,0,83,86,72,66
Gene3033,1,0,0,0,1,1,6,6,1,0,3,0,8,7,7,9
Gene3034,795,666,520,626,475,455,262,264,81,271,48,178,218,234,294,206
Gene3035,280,248,281,117,602,176,124,141,20,7,6,0,170,182,165,157
Gene3036,0,0,0,0,0,0,0,0,24,0,11,5,0,0,0,0
Gene3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3038,2,2,1,3,4,4,7,7,2,0,7,0,7,10,15,8
Gene3039,20,21,18,17,13,15,11,14,12,7,5,2,13,10,12,15
Gene3040,3,4,4,3,2,4,9,9,1,2,4,1,10,8,8,10
Gene3041,1,2,1,3,2,4,5,5,41,16,32,15,5,7,4,7
Gene3042,26,33,24,23,25,30,27,23,30,25,15,17,21,24,23,21
Gene3043,15,11,13,15,25,17,21,21,3,1,4,1,16,16,20,18
Gene3044,0,0,0,0,0,0,0,0,49,36,44,56,0,0,0,0
Gene3045,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
Gene3046,1,1,1,3,9,10,5,5,1,2,0,0,3,8,2,5
Gene3047,1,2,1,2,2,4,1,2,0,0,0,0,2,1,0,0
Gene3048,10,13,14,15,22,19,16,13,4,4,3,1,15,15,8,12
Gene3049,0,0,1,0,1,2,6,8,3,0,7,0,10,8,8,9
Gene3050,9,10,7,5,10,10,15,14,9,7,9,2,8,12,10,13
Gene3051,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,2
Gene3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3053,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Gene3054,2,2,2,2,3,1,1,1,0,0,0,0,3,3,4,3
Gene3055,149,161,170,190,301,179,255,247,83,31,142,27,240,234,252,277
Gene3056,7,15,16,32,20,9,6,5,0,0,0,0,1,3,2,7
Gene3057,9,7,9,7,14,18,25,27,1,1,3,1,39,37,45,45
Gene3058,7,10,9,9,13,9,13,12,0,0,1,0,16,16,13,13
Gene3059,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Gene3060,2,2,2,2,4,4,6,7,0,0,1,0,8,8,5,4
Gene3061,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0
Gene3062,44,53,56,57,64,63,84,84,30,22,40,8,121,112,121,129
Gene3063,6,5,8,6,6,5,5,4,0,0,1,0,4,4,3,4
Gene3064,26,33,27,33,39,45,38,36,45,19,26,3,35,38,39,30
Gene3065,12,9,9,17,28,16,18,17,0,0,0,0,21,15,25,20
Gene3066,7,3,7,3,2,6,4,4,34,34,33,59,4,3,5,5
Gene3067,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gene3068,2,1,1,0,1,6,7,8,0,0,0,0,5,5,7,7
Gene3069,0,0,0,0,0,0,2,2,1,0,3,1,1,1,0,1
Gene3070,1,0,0,1,2,1,0,1,0,2,0,0,0,1,0,1
Gene3071,0,0,0,1,1,1,2,1,0,0,1,0,2,0,0,2
Gene3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3073,22,17,19,19,21,29,33,31,53,15,52,21,34,42,41,33
Gene3074,118,132,113,106,216,160,114,111,62,76,31,62,165,174,187,146
Gene3075,0,1,0,1,1,1,0,0,0,0,0,0,3,0,1,0
Gene3076,8,7,7,5,3,1,9,8,0,0,0,0,1,1,3,5
Gene3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3078,1,10,1,4,1,4,2,2,24,5,6,0,1,7,4,5
Gene3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gene3080,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Gene3081,0,0,1,0,1,0,1,0,28,14,36,10,0,0,0,0
Gene3082,15,18,16,16,22,25,34,35,21,8,26,2,39,39,40,40
Gene3083,1,1,1,2,1,1,2,2,0,0,0,0,3,2,2,2
Gene3084,2,4,3,4,2,5,3,4,0,0,0,1,3,4,2,1
Gene3085,5,5,4,5,9,8,9,11,2,1,6,0,9,9,9,11
Gene3086,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Gene3087,2,2,1,3,1,2,3,4,0,0,1,0,3,2,2,3
Gene3088,2,2,2,1,3,0,0,1,0,0,0,0,0,0,0,0
Gene3089,1,2,1,1,2,2,0,1,1,0,0,0,7,7,13,10
Gene3090,1,1,1,0,0,2,1,1,0,0,0,0,1,1,0,1
Gene3091,2,1,1,2,3,2,2,1,0,1,1,0,1,1,0,1
Gene3092,2,1,2,4,1,1,2,7,0,1,0,0,1,4,2,6
Gene3093,7,2,4,0,1,3,8,0,5,1,3,6,4,4,6,0
Gene3094,3,5,5,5,4,2,2,3,0,0,0,0,3,2,2,4
Gene3095,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,1
Gene3096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3097,6,5,6,5,13,12,14,15,0,0,3,1,21,23,19,21
Gene3098,0,0,0,0,0,0,1,2,0,0,1,0,2,2,5,2
Gene3099,16,16,17,18,16,17,24,25,9,3,13,3,30,28,28,29
Gene3100,0,1,1,1,2,1,2,4,0,0,1,1,4,3,1,1
Gene3101,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Gene3102,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3104,176,299,245,213,202,124,104,82,0,0,0,0,159,151,120,125
Gene3105,6,10,8,8,15,12,13,14,12,3,11,0,12,10,11,11
Gene3106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3108,2,2,1,2,4,1,3,1,2,3,1,0,2,1,2,2
Gene3109,1,0,1,1,1,3,3,3,1,0,0,0,5,6,6,4
Gene3110,3,3,2,2,5,7,11,9,6,0,12,1,10,15,16,10
Gene3111,7,7,8,7,6,13,14,21,0,0,0,0,14,13,11,9
Gene3112,1,1,1,1,2,1,0,0,0,0,0,0,1,1,1,1
Gene3113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gene3114,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
Gene3115,3,4,3,4,4,6,8,8,0,0,1,0,10,10,11,11
Gene3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3117,7,8,5,6,9,17,10,12,1,0,8,1,16,15,10,15
Gene3118,20,15,22,17,21,29,40,47,16,7,21,7,61,52,68,58
Gene3119,1,2,2,1,2,1,2,1,0,0,0,0,1,1,1,1
Gene3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3121,2,3,2,3,6,6,4,4,12,7,9,7,8,11,8,10
Gene3122,2,2,2,2,4,3,5,6,0,0,0,0,6,6,5,4
Gene3123,0,0,0,0,0,1,2,3,0,0,0,0,3,2,1,3
Gene3124,2,5,4,3,8,8,5,5,5,6,2,1,10,10,11,11
Gene3125,1,1,0,3,1,1,3,3,11,1,9,2,2,1,1,3
Gene3126,20,17,19,27,28,25,34,31,16,2,14,0,34,30,33,30
Gene3127,1,2,2,7,9,1,2,2,0,0,0,0,3,0,1,1
Gene3128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gene3129,2,1,0,1,2,3,3,5,0,0,2,0,2,1,5,2
Gene3130,2,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0
Gene3131,3,5,3,4,5,6,8,7,1,1,3,0,9,6,6,8
Gene3132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gene3133,0,0,0,0,0,0,0,1,30,30,37,34,0,0,1,0
Gene3134,7,8,8,7,8,15,17,20,7,0,12,1,19,23,26,15
Gene3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3136,28,31,27,29,40,30,27,22,3,0,0,0,13,17,13,12
Gene3137,2,2,2,2,3,5,7,9,0,0,0,0,13,10,15,14
Gene3138,3,2,2,2,0,7,5,2,1,0,0,0,4,5,8,7
Gene3139,37,41,34,42,51,30,20,21,15,17,6,4,22,20,21,21
Gene3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3141,52,69,58,73,74,70,72,66,8,9,17,3,70,67,69,69
Gene3142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3143,2,3,8,4,20,15,5,2,0,0,0,0,18,14,21,2
Gene3144,3,4,2,5,4,7,6,6,7,0,1,0,13,13,12,9
Gene3145,12,13,11,14,21,17,19,20,3,1,5,0,11,15,13,15
Gene3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3147,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
Gene3148,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Gene3149,6,9,6,8,16,11,12,11,4,3,3,0,13,11,8,11
Gene3150,11,11,11,12,13,12,10,10,2,4,4,4,13,23,15,13
Gene3151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
Gene3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3153,0,0,0,0,3,0,0,2,0,0,0,0,1,0,1,0
Gene3154,1,0,2,0,14,0,0,1,0,0,0,0,2,1,3,0
Gene3155,0,1,0,1,1,1,1,3,0,0,0,0,4,3,1,1
Gene3156,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0
Gene3157,2,2,2,2,1,2,4,5,0,0,0,0,6,4,4,5
Gene3158,1,1,0,0,1,2,2,1,0,0,0,0,2,1,0,2
Gene3159,12,18,13,11,18,19,27,22,3,0,13,4,28,29,25,28
Gene3160,2,3,0,4,5,13,12,15,4,1,6,0,28,23,23,23
Gene3161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3162,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Gene3163,9,5,8,8,6,5,8,4,0,0,1,0,5,9,8,7
Gene3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3165,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Gene3166,0,0,0,1,0,0,0,0,0,0,0,0,1,1,10,8
Gene3167,2757,2411,2111,2119,2079,1774,1204,1296,2414,6104,1961,3967,1077,1133,1022,1064
Gene3168,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Gene3169,20,25,23,24,46,33,47,44,35,18,28,8,50,49,45,42
Gene3170,47,45,51,46,39,66,67,61,76,12,65,29,71,83,80,69
Gene3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3172,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Gene3173,6,6,8,7,14,11,12,13,0,0,1,0,12,9,14,13
Gene3174,0,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0
Gene3175,2,4,3,3,3,11,23,24,14,0,21,1,26,23,25,24
Gene3176,0,1,3,3,8,7,3,2,3,0,4,3,4,6,9,5
Gene3177,0,0,0,1,2,3,4,4,0,0,0,0,4,3,2,2
Gene3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3179,1,1,1,0,1,2,2,1,0,0,0,0,4,6,6,5
Gene3180,0,0,0,0,0,2,0,0,51,22,29,17,0,0,1,0
Gene3181,1,1,1,2,7,9,9,10,1,0,1,0,11,11,7,7
Gene3182,5,8,6,5,10,6,7,8,0,0,0,0,6,4,5,7
Gene3183,50,49,55,48,61,54,58,55,42,20,54,21,53,61,61,53
Gene3184,7,6,11,7,4,15,27,27,17,2,29,3,40,43,41,33
Gene3185,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,1
Gene3186,135,184,215,238,151,90,84,65,0,1,0,0,86,88,94,85
Gene3187,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1
Gene3188,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gene3189,3,4,4,3,2,15,24,27,10,1,12,0,27,29,26,27
Gene3190,47,49,58,53,93,68,90,85,32,27,33,28,107,99,102,103
Gene3191,9,12,6,13,16,8,7,11,1,1,0,1,6,9,6,4
Gene3192,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
Gene3193,1,1,1,1,2,2,4,4,0,0,0,0,3,3,2,3
Gene3194,0,1,1,0,1,2,1,0,0,0,0,1,1,1,0,0
Gene3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3196,3,4,5,3,9,6,3,4,1,2,1,0,4,4,4,4
Gene3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3198,1,1,9,0,6,1,0,6,5,5,5,13,0,1,1,1
Gene3199,93,112,105,119,403,279,388,364,410,171,254,166,396,392,311,218
Gene3200,8,3,10,0,8,7,4,9,2,2,6,5,3,3,8,0
Gene3201,9,12,9,8,11,13,11,14,0,0,1,0,12,7,9,8
Gene3202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3203,7,9,5,6,8,11,14,9,13,4,12,5,11,13,13,10
Gene3204,0,1,1,0,2,1,2,3,0,0,0,2,4,3,3,1
Gene3205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3206,1,0,1,1,1,1,1,2,3,0,5,0,8,3,8,2
Gene3207,8,5,7,10,16,12,10,14,0,0,0,0,0,9,1,10
Gene3208,2,2,3,3,7,5,5,7,4,1,5,0,5,6,4,6
Gene3209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gene3210,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1
Gene3211,0,0,0,0,2,4,9,8,14,2,18,0,13,14,16,14
Gene3212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3213,1,0,0,1,1,3,3,4,0,0,1,0,3,2,1,3
Gene3214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3215,2,2,1,3,3,1,2,2,0,0,0,0,3,1,0,2
Gene3216,2,1,0,3,0,1,0,2,1,3,0,0,0,2,1,0
Gene3217,2,3,2,2,1,2,2,2,1,1,2,1,2,2,3,4
Gene3218,31,35,36,39,57,43,41,35,5,9,9,10,37,35,32,34
Gene3219,5,3,8,5,2,9,16,17,11,0,12,2,17,18,20,20
Gene3220,1,0,0,1,2,1,2,3,0,0,0,0,3,5,4,2
Gene3221,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Gene3222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3223,2,1,0,2,0,0,1,1,0,0,0,0,5,4,3,3
Gene3224,2,1,0,1,1,0,5,6,0,0,3,0,7,9,9,7
Gene3225,2,2,3,1,3,7,7,6,2,0,1,0,5,4,3,2
Gene3226,15,15,16,16,17,19,19,20,5,2,5,1,23,21,23,20
Gene3227,2,1,7,3,8,1,3,3,0,0,0,0,2,2,1,1
Gene3228,22,19,19,26,17,19,17,15,11,13,15,1,16,15,17,13
Gene3229,3,3,2,9,0,0,0,1,0,0,0,0,0,0,2,1
Gene3230,408,359,395,537,522,529,671,667,414,238,633,321,806,790,718,777
Gene3231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3233,1,1,1,6,1,4,2,1,0,0,1,0,1,7,12,1
Gene3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3235,6,7,8,4,9,12,10,9,0,0,1,0,14,9,13,12
Gene3236,2,3,0,4,0,0,2,1,0,1,0,0,4,2,2,3
Gene3237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3241,1,3,10,3,0,4,2,3,0,0,0,0,2,6,4,3
Gene3242,0,0,0,0,2,3,1,2,0,0,1,0,10,9,9,10
Gene3243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gene3244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3247,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gene3248,1,4,2,2,0,0,1,2,0,0,0,0,1,1,1,1
Gene3249,13,15,14,15,16,16,17,19,4,1,7,2,19,20,21,23
Gene3250,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
